state_code,dist_code,court_no,court_historical_median_resolution,pending_cases_count
3,8,2,492.0,109424
3,8,3,282.0,378393
3,8,4,238.0,174488
3,8,5,243.0,135070
3,8,7,391.0,95880
3,8,8,246.0,83476
3,8,9,344.0,63448
3,8,10,299.0,60839
3,8,12,406.0,80768
3,8,13,350.0,51030
3,8,14,332.0,47911
3,9,1,168.0,236434
3,9,2,355.0,141019
3,9,3,283.0,378021
3,9,5,225.0,141492
3,9,6,328.0,102109
3,9,7,368.0,99362
3,9,8,246.0,83565
3,9,10,1302.0,5325
3,9,14,334.0,47835
3,9,16,847.0,12771
3,9,17,371.0,57289
3,9,19,362.0,42595
3,9,20,382.0,29078
3,9,21,245.0,30468
3,9,22,181.0,27091
3,10,1,166.0,240077
3,10,2,356.0,140611
3,10,3,289.0,373990
3,10,4,258.0,165079
3,10,5,224.0,141659
3,10,6,328.0,102123
3,10,7,385.0,96779
3,10,8,258.0,81692
3,10,9,347.0,63085
3,10,10,299.0,60840
3,10,11,366.0,77214
3,10,12,407.0,80659
3,10,13,351.0,50894
3,10,14,333.0,47873
3,10,15,402.0,48519
3,10,16,345.0,44112
3,10,17,372.0,57251
3,10,18,359.0,34050
3,10,19,724.0,12675
3,10,20,434.0,26977
3,10,21,263.0,29647
3,10,22,185.0,26797
3,11,1,183.0,212606
3,11,2,355.0,141007
3,11,3,282.0,378517
3,11,4,223.0,181528
3,11,5,224.0,141626
3,11,6,331.0,101615
3,11,7,368.0,99406
3,11,8,246.0,83501
3,11,9,343.0,63482
3,11,10,299.0,60775
3,11,11,364.0,77558
3,11,12,406.0,80833
3,11,13,511.0,38782
3,11,15,405.0,48312
3,11,16,332.0,45170
3,12,1,162.0,244304
3,12,2,359.0,140001
3,12,3,282.0,378624
3,12,4,549.0,19300
3,12,5,1211.0,8071
3,12,6,1080.0,10323
3,12,7,371.0,98859
3,12,8,247.0,83372
3,12,9,343.0,63500
3,12,10,308.0,59973
3,12,11,364.0,77463
3,12,12,408.0,80500
3,12,13,350.0,51040
3,12,16,489.0,32362
3,12,17,372.0,57247
3,12,18,535.0,26171
3,12,19,363.0,42530
3,12,20,394.0,28615
3,12,23,301.0,16030
3,12,24,460.0,20541
3,13,1,164.0,242061
3,13,2,359.0,139983
3,13,3,282.0,378394
3,13,4,552.0,18358
3,13,5,224.0,141616
3,13,6,341.0,99707
3,13,7,368.0,99422
3,13,8,246.0,83478
3,13,9,350.0,62777
3,13,10,299.0,60829
3,13,11,357.0,78533
3,13,12,406.0,80795
3,13,13,379.0,48609
3,13,14,332.0,47912
3,14,1,183.0,212208
3,14,2,355.0,141044
3,14,3,289.0,373702
3,14,7,384.0,96978
3,14,8,246.0,83502
3,14,9,353.0,62542
3,14,10,299.0,60819
3,14,11,363.0,77741
3,14,12,406.0,80806
3,14,13,350.0,51031
3,14,15,401.0,48539
3,14,16,324.0,45893
3,14,17,371.0,57290
3,15,1,160.0,246259
3,15,2,355.0,140960
3,15,3,282.0,378736
3,15,4,563.0,15619
3,15,5,230.0,139769
3,15,6,329.0,102023
3,15,7,368.0,99363
3,15,8,246.0,83503
3,15,9,348.0,63025
3,15,10,313.0,59598
3,15,11,357.0,78514
3,15,12,406.0,80847
3,15,13,434.0,44471
3,15,14,334.0,47812
3,15,15,402.0,48457
3,15,17,371.0,57273
3,15,18,569.0,24360
3,15,19,622.0,17275
3,15,20,418.0,27696
3,15,22,186.0,26755
3,16,1,181.0,217785
3,16,2,360.0,139710
3,16,3,282.0,378576
3,16,4,564.0,30646
3,16,5,224.0,141646
3,16,6,328.0,102099
3,16,7,571.0,71275
3,16,8,452.0,54834
3,16,9,343.0,63502
3,16,10,1340.0,4157
3,16,11,365.0,77412
3,17,1,158.0,247317
3,17,2,359.0,139984
3,17,3,286.0,376133
3,17,5,228.0,140418
3,17,6,334.0,101123
3,17,7,368.0,99407
3,17,8,252.0,82578
3,17,9,343.0,63489
3,17,10,311.0,59774
3,17,11,364.0,77559
3,17,12,406.0,80817
3,17,13,427.0,44934
3,17,14,334.0,47820
3,17,15,433.0,46207
3,17,16,372.0,41841
3,18,1,162.0,244330
3,18,2,355.0,141020
3,18,3,282.0,378467
3,18,4,230.0,178441
3,18,5,224.0,141660
3,18,6,330.0,101672
3,18,7,370.0,99044
3,18,8,246.0,83566
3,18,9,343.0,63490
3,18,10,299.0,60820
3,18,11,357.0,78494
3,18,12,406.0,80801
3,18,13,349.0,51078
3,18,14,350.0,46822
3,18,15,406.0,48236
3,18,17,372.0,57245
3,18,18,364.0,33804
3,18,19,364.0,42456
3,18,20,389.0,28803
3,18,21,245.0,30481
3,18,22,226.0,20088
3,18,23,665.0,9505
3,18,24,460.0,20547
3,18,25,413.0,13637
3,18,26,1548.5,1382
3,19,1,175.0,228411
3,19,2,355.0,141046
3,19,3,282.0,378668
3,19,4,224.0,181357
3,19,5,224.0,141661
3,19,6,333.0,101265
3,19,7,368.0,99408
3,19,8,257.0,81847
3,19,9,343.0,63503
3,19,10,299.0,60841
3,19,11,357.0,78540
3,19,12,406.0,80807
3,19,13,350.0,51032
3,20,1,435.0,35514
3,20,2,670.0,14766
3,20,3,282.0,378920
3,20,6,1117.0,9318
3,20,7,368.0,99426
3,20,8,904.5,3568
3,20,13,1437.0,4177
3,20,15,402.0,48521
3,20,16,561.0,26098
3,21,1,151.0,251052
3,21,2,354.0,141055
3,21,3,282.0,378582
3,21,5,413.0,91743
3,21,6,332.0,101417
3,21,7,370.0,99047
3,21,8,246.0,83458
3,21,9,344.0,63450
3,21,10,299.0,60832
3,21,11,357.0,78507
3,21,12,406.0,80848
3,21,13,510.0,38953
3,21,14,1684.0,4279
3,21,15,401.0,48538
3,21,16,323.0,45978
3,21,17,371.0,57291
3,21,18,567.0,24465
3,22,1,183.0,212694
3,22,2,356.0,140613
3,22,3,282.0,378526
3,22,4,548.0,19795
3,22,5,235.0,137862
3,22,6,328.0,102101
3,22,7,368.0,99409
3,22,8,246.0,83505
3,22,9,344.0,63464
3,22,10,299.0,60800
3,22,11,363.0,77696
3,22,12,406.0,80849
3,22,13,365.0,49794
3,22,14,333.0,47883
3,22,15,402.0,48512
3,22,16,345.0,44130
3,22,17,371.0,57274
3,22,18,377.0,33079
3,22,19,362.0,42659
3,23,1,183.0,212695
3,23,2,354.0,141078
3,23,3,282.0,378676
3,23,7,368.0,99427
3,23,8,246.5,83438
3,23,9,350.0,62854
3,23,10,311.0,59822
3,23,11,357.0,78508
3,23,12,410.0,80159
3,23,13,351.0,50922
3,23,14,349.0,46858
3,23,15,402.0,48472
3,23,16,323.0,45979
3,23,17,371.0,57278
3,23,18,378.0,33009
3,23,19,363.0,42531
3,23,20,374.0,29376
3,23,21,258.0,29868
3,24,1,154.0,249436
3,24,2,355.0,141009
3,24,3,282.0,378629
3,24,5,224.0,141662
3,24,6,330.0,101717
3,24,7,390.0,95956
3,24,8,456.0,54097
3,24,9,571.0,45492
3,24,16,324.0,45895
3,24,17,373.0,57117
3,24,18,360.0,34037
3,24,21,245.0,30469
3,24,23,301.0,16032
3,24,24,460.0,20555
3,24,26,470.0,16239
3,24,27,419.0,13938
3,25,1,163.0,243610
3,25,2,355.0,141022
3,25,3,282.0,378744
3,25,5,232.0,138761
3,25,6,335.0,100950
3,25,7,378.5,97838
3,25,8,453.0,54571
3,25,9,384.0,59638
3,25,10,320.0,58859
3,25,11,363.0,77761
3,25,12,406.0,80760
3,26,1,186.0,183890
3,26,2,675.0,71813
3,26,3,282.0,378631
3,26,4,224.0,181332
3,26,5,225.0,141575
3,26,6,329.0,102006
3,26,7,369.0,99293
3,26,9,1374.0,7637
3,26,10,531.0,42191
3,26,11,374.0,76149
3,26,12,406.0,80769
3,26,13,375.0,48927
3,26,14,334.0,47806
3,26,15,427.0,46700
3,26,16,325.0,45820
3,26,17,372.0,57242
3,26,19,362.0,42649
3,26,20,395.0,28566
3,26,21,252.0,30111
3,26,23,322.0,15446
3,26,24,1449.0,3535
3,26,25,409.0,13703
3,26,26,475.0,16113
3,27,1,185.0,208390
3,27,2,360.0,139669
3,27,3,289.0,373826
3,27,4,230.0,178573
3,27,5,224.0,141617
3,27,6,337.0,100379
3,27,7,368.0,99410
3,27,8,486.0,48895
3,27,9,385.0,59612
3,27,10,299.0,60807
3,28,1,158.0,247131
3,28,2,355.0,140961
3,28,3,282.0,378584
3,28,4,223.0,181575
