act,act_canonical,category
14999,Revenue Recovery Act,Commercial
15001,"Revenue Recovery Act, 1968 (Kerala)",Commercial
15232,SEC 26 ORDER 4 RULE 1 AND ORDER 7 RULE 1 OF CPC,Commercial
15233,SEC 26 ORDER 7 RULE 1 AND 2 OF CPC,Commercial
15238,"SEC 27, 28 OF THE TRADE MARKS ACT, 1999 R/W. ORDER 39 CPC",Commercial
15281,SEC 94 AND 151 OF CPC,Commercial
15295,SEC. 26 R/W 7 RULE 1 AND 2 CPC.,Commercial
15311,SEC.26 ORDER 7 RULE 1 OF CPC,Commercial
15356,SECTION 151 CPC,Commercial
15388,SECTION 96 OF CPC,Commercial
15649,Sec 26 Order 7 Rule 1 and 3 CPC,Commercial
15651,Sec 26 Order 7 Rule 1 of CPC 1908,Commercial
15741,Sec 80 2 CPC,Commercial
15772,Sec of CPC,Commercial
15830,Sec. 26 Order 7 Rule 1 and 2 CPC,Commercial
15833,Sec. 26 of CPC.,Commercial
15862,Sec. 5 of Limitation Act R/w. 151 of CPC,Commercial
15892,"Sec., 151 of CPC",Commercial
15998,Sec10 of CPC,Commercial
16008,Sec151 CPC,Commercial
16009,Sec152 CPC,Commercial
16031,Sec802 CPC,Commercial
16033,Sec91 CPC,Commercial
16084,Section 26 Order 7 Rule 1 and 2 CPC,Commercial
16089,Section 26 r/w order 7 Rule 1 of CPC,Commercial
16128,Section 9 of Civil Procedure Code,Commercial
16150,SecuritiesContracts(Regulation)Act,Commercial
16369,Specific performance of Contracts\,Commercial
16497,Suit For Declaration  \,Commercial
16509,Suit for Eviction,Commercial
16514,Suit for Money and Damages,Commercial
16516,Suit for Realisation,Commercial
16517,Suit for Recovery,Commercial
16523,Suit for money,Commercial
16527,Suit is dismissed for non prosecution,Commercial
16529,Suits Valuation Act,Commercial
16531,"Suits Valuation Act, 1977 (1920 A.D)",Commercial
16533,Suits for recovery and Damages\,Commercial
16534,SuitsValuationAct,Commercial
16626,THE CODE OF CIVIL PROCEDURE,Commercial
16627,THE CODE OF CIVIL PROCEDURE1908,Commercial
16941,Tamil Nadu Court Fees and Suit Valuation Act,Commercial
17341,The Indian Contract Act 1872,Commercial
17931,U O 7 Rule 1 R W Sec 26 and Sec 34 of CPC.,Commercial
17936,U Order 21 Rule 11 of CPC,Commercial
17941,U Order 32 Rule 7 R/w Sec 151 CPC,Commercial
17947,U Order 41 Rule 1 CPC,Commercial
17952,"U Order 5 Rule 20,1, CPC",Commercial
17953,U Order 7 Rule 1 and 2 CPC,Commercial
17954,U Order 7 Rule Of 1 and 2 CPC,Commercial
18071,U Sec. 26 R W Order VII Rule 1 of CPC 1908,Commercial
18075,U Section 26 Read With O VII R 1 of CPC,Commercial
18287,U.Sec.26 r/w.O.7 R 1 and 2 and order 34 of CPC,Commercial
18357,U/ Order VII Rule 1 Of CPC,Commercial
18377,U/0 37 OF CPC,Commercial
18379,U/0 7 RULE R/W 26 CPC,Commercial
18380,U/0 7 Rule 1 of CPC,Commercial
18429,U/O 20 RULE 18 OF CPC,Commercial
18490,U/O 21 RULE 30 OF CPC,Commercial
18507,U/O 21 RULE 37 TO40 CPC,Commercial
18543,U/O 21 Rule 2 of CPC,Commercial
18590,U/O 26 RULE 13 OF CPC,Commercial
18594,U/O 26 RULE 9 OF CPC,Commercial
18613,U/O 32 RULE 1 OF CPC,Commercial
18615,U/O 32 RULE 3 OF CPC,Commercial
18631,U/O 34 RULE 3 AND 5 OF CPC,Commercial
18637,U/O 34 RULE 8 OF CPC,Commercial
18663,U/O 39 RULE 1 AND 2 R/W SEC 151 OF CPC,Commercial
18687,U/O 4 Rule 1 of CPC,Commercial
18754,U/O 41 Rule 1 and 2 of CPC,Commercial
18774,U/O 41 of CPC,Commercial
18789,U/O 43 RULE 1 OF CPC,Commercial
18832,U/O 47 R/W Sec 1  of CPC,Commercial
18846,U/O 47 RULE 1 READ WITH SECTION 151 OF THE CODE OF CIVIL PROCEDURE.,Commercial
18850,U/O 47 RULES 1 SUB RULE B AND 2 R/W SEC 151 OF CPC,Commercial
18869,U/O 6 RULE OF CPC,Commercial
18873,U/O 7 R 1 AND 2 RW 26 CPC,Commercial
18874,U/O 7 R 1 RW 26 CPC,Commercial
18876,U/O 7 RULE  1 R/W  SEC 26 AND 34 CPC,Commercial
18879,U/O 7 RULE 1 AND 2 AND R/W SEC 26 OF CPC,Commercial
18883,U/O 7 RULE 1 AND 2 OF CPC,Commercial
18885,U/O 7 RULE 1 AND 2 R/W SEC 26 AND 151 OF CPC,Commercial
18888,"U/O 7 RULE 1 AND ORDER 34 RULES 1, 4, 5, 6, AND SECTION 26 CPC",Commercial
18889,U/O 7 RULE 1 And 2 Section 26 of CPC,Commercial
18900,U/O 7 RULE 1 R/W SECTION 26 OF CPC,Commercial
18905,U/O 7 RULE 1 and 2 of CPC R/W Section 26 of CPC,Commercial
18907,"U/O 7 RULE 1, 2 OF CPC",Commercial
18908,U/O 7 RULE 14 of CPC.,Commercial
18909,U/O 7 RULE 1CPC,Commercial
18917,U/O 7 Rule 1 R/W Sec 26 0f CPC,Commercial
18918,U/O 7 Rule 1 R/W Sec 26 of CPC.,Commercial
18924,U/O 7 Rule 1 and 2 R/W 26 of CPC,Commercial
18926,U/O 7 Rule 1 and 2 R/W Section 151 of CPC,Commercial
18928,U/O 7 Rule 1 and 2 R/w Sec.26 and 33 of CPC,Commercial
18931,U/O 7 Rule 1 and 2 of C.P.C. R/w. Sec. 26 of CPC,Commercial
18932,U/O 7 Rule 1 and 3 CPC,Commercial
18933,U/O 7 Rule 1 and 3 R/W 26 of CPC,Commercial
18939,U/O 7 Rule 1 of CPC U/S 26 of CPC,Commercial
18942,U/O 7 Rule 1and 2 R/W Section 26 of CPC,Commercial
18943,U/O 7 Rule 8 R/W 151 of CPC,Commercial
18945,U/O 7 of CPC,Commercial
18946,U/O 7 rule 1 CPC R/W Order 34 Rule 2,Commercial
18955,U/O 7Rule 1 and 3 CPC,Commercial
18961,U/O 9  RULE 9 CPC,Commercial
18963,U/O 9  Rule 13 R/W 151 of CPC,Commercial
18975,U/O 9 RULE 13 OF CPC,Commercial
18976,U/O 9 RULE 13 OF THE CPC,Commercial
18982,U/O 9 RULE 4 AND 7 OF THE  CPC,Commercial
19010,U/O 9 RULE 9 OF CPC,Commercial
19072,U/O IX RULE 9 OF CPC,Commercial
19098,U/O V RULE 20 OF CPC,Commercial
19105,U/O VII RULE  1 AND  2 OF THE CPC,Commercial
19107,U/O VII RULE 1 AND 2  R/W 151 CPC,Commercial
19112,U/O VII RULE 1 AND 2 OF CPC,Commercial
19113,U/O VII RULE 1 AND 2 R/W 151 OF CPC,Commercial
19114,U/O VII RULE 1 AND 2 R/W SEC 26 OF CPC,Commercial
19115,U/O VII RULE 1 AND 3 R/W SEC. 26 OF CPC,Commercial
19121,U/O VII RULE 1 OF CPC AND MUSLIM DISSOLUTION OF MARIAGE ACT SEC.11 R/W SEC.307(3) OF MOHAMMADDEN LAW,Commercial
19125,U/O VII RULE 1 R/W SEC. 151 OF CPC,Commercial
19130,U/O VII RULE 1 TO 3 OF CPC,Commercial
19139,U/O VII Rule 1 R/W Section 26 of CPC,Commercial
19140,U/O VII Rule 1 and 2 R/W Sec. 26 of 151 CPC,Commercial
19142,U/O VII Rule 1 and 2 Read with Sec. 26 of 151 of CPC,Commercial
19154,U/O VIII RULE 1 OF CPC,Commercial
19166,U/O XLI Rule 5 of CPC,Commercial
19168,U/O XLIII RULE 1 OF CPC,Commercial
19182,U/O XVI RULE 1 AND 6 OF CPC,Commercial
19216,U/O XXI RULE II OF CPC,Commercial
19237,U/O XXXIV Rule 7 of CPC,Commercial
19239,U/O XXXIX RULE 1 AND 2 R/W SEC 151 OF THE CPC,Commercial
19244,U/O XXXVIII RULE 1 AND 2 CPC,Commercial
19257,U/O. 21 RULE 11 OF CPC,Commercial
19269,U/O. 37 OF CPC 1908,Commercial
19288,U/O. 6 Rule 14 A of CPC,Commercial
19302,U/O. VII RULE 1 AND 3 of CPC,Commercial
19353,U/O.34 rule 1 TO 5 of CPC,Commercial
19362,U/O.7 Rule 1 and 2 r/w sec.26 of CPC,Commercial
19363,U/O.8 RULE 1 AND 2 OF CPC,Commercial
19389,U/Order  34 Rule 1 and 2 of CPC,Commercial
19392,U/Order 1 Rule 10 CPC,Commercial
19406,U/Order 22 Rule 3 CPC,Commercial
19411,U/Order 39 Rule 1 and 2 CPC,Commercial
19428,U/Order 7 Rule 1 and 3 of CPC,Commercial
19430,U/Order 7 Rule 10 CPC,Commercial
19432,"U/Order 7, Rule 1 and Sec.9 of CPC",Commercial
19433,U/Order 8 Rule 1 A CPC,Commercial
19436,U/Order 9 Rule 7 CPC,Commercial
19446,U/Order VII Rule 1 of CPC R/w Sec.26 of CPC,Commercial
19503,"U/S  order 7 Rule,1 and 3 of CPC",Commercial
19937,U/S 148(A) OF CPC,Commercial
19964,U/S 151 CPC R/W Rule 9 CRP,Commercial
